,word,tag
3716,og,c
3717,tíminn,nkeng
3718,að,cn
3719,verða,sng
3720,naumur,lkensf
3721,fyrir,af
3722,heimamenn,nkfo
3723,.,pl
3724,Keflavík,nven-s
3725,tók,sfg3eþ
3726,hins,fakee
3727,vegar,nkee
3728,öll,fohfo
3729,völd,nhfo
3730,í,af
3731,öðrum,lkeþsf
3732,leikhluta,nkeþ
3733,og,c
3734,var,sfg3eþ
3735,staðan,nveng
3736, þrjátíu og tvö,ta
3737,,m
3738, fjörutíu og sex,ta
3739,í,af
3740,hálfleik,nkeþ
3741,.,pl
3742,Knútur,nken-s
3743,Rúnar,nken-s
3744,Jónsson,nken-s
3745,fyrirliði,nken
3746,Víðis,nkee-s
3747,kom,sfg3eþ
3748,sínum,fekfþ
3749,mönnum,nkfþ
3750,í,af
3751, eitt,ta
3752,,m
3753,núll,ta
3754,í,af
3755,upphafi,nheþ
3756,fyrri,lkeevm
3757,hálfleiks,nkee
3758,en,c
3759,varamaðurinn,nkeng
3760,Jóhann,nken-s
3761,Magni,nken-s
3762,Jóhannsson,nken-s
3763,reyndist,sfm3eþ
3764,hetja,nven
3765,heimamanna,nkfe
3766,er,c
3767,hann,fpken
3768,gerði,sfg3eþ
3769,jöfnunarmark,nheo
3770,leiksins,nkeeg
3771,í,af
3772,viðbótartíma,nkeþ
3773,.,pl
3774,Valsstúlkur,nvfn-s
3775,héldu,sfg3fþ
3776,sínu,feheþ
3777,striki,nheþ
3778,í,af
3779,síðari,lkeþvm
3780,hálfleik,nkeþ
3781,og,c
3782,að,af
3783,loknum,lkeþsf
3784, þriðja,ta
3785,leikhluta,nkeþ
3786,leiddu,sfg3fþ
3787,þær,fpvfn
3788,enn,aa
3789,",",pk
3790, fjörutíu og sex,ta
3791,,m
3792, fimmtíu og átta,ta
3793,þrátt,aa
3794,fyrir,af
3795,áhlaup,nheo
3796,Keflvíkinga,nkfe-s
3797,.,pl
3798,Stjarnan,nvengs
3799,:,pa
3800,Keith,n----s
3801,Cothran,n----s
3802, tuttugu og tvö <sil> sex,ta
3803,fráköst,nhfn
3804,",",pk
3805,Renato,n----s
3806,Lindmets,n----s
3807, fjórtán <sil> fjögur,ta
3808,fráköst,nhfn
3809,skástrik,pa
3810, sex,ta
3811,stoðsendingar,nvfn
3812,",",pk
3813,Jovan,n----s
3814,Zdravevski,n----s
3815, ellefu,ta
3816,",",pk
3817,Justin,n----s
3818,Shouse,n----s
3819, ellefu <sil> fjögur,ta
3820,fráköst,nhfo
3821,skástrik,pa
3822, átta,ta
3823,stoðsendingar,nvfn
3824,",",pk
3825,Fannar,nken-s
3826,Freyr,nken-s
3827,Helgason,nken-s
3828, níu <sil> fimm,ta
3829,fráköst,nhfo
3830,",",pk
3831,Marvin,n----s
3832,Valdimarsson,nken-s
3833, fimm,ta
3834,",",pk
3835,Dagur,nken-s
3836,Kár,nken-s
3837,Jónsson,nken-s
3838, tvö,ta
3839,",",pk
3840,Guðjón,nken-s
3841,Lárusson,nken-s
3842,núll,ta
3843,",",pk
3844,Sigurjón,nken-s
3845,Örn,nken-s
3846,Lárusson,nken-s
3847,núll,ta
3848,",",pk
3849,Aron,nken-s
3850,Kárason,nken-s
3851,núll,ta
3852,",",pk
3853,Sigurbjörn,nken-s
3854,Ottó,nken-s
3855,Björnsson,nken-s
3856,núll,ta
3857,.,pl
3858,Úrslitin,nhfng
3859,réðust,sfm3fþ
3860,ekki,aa
3861,fyrr,aam
3862,en,c
3863,í,af
3864,blálokin,nhfog
3865,þar,aa
3866,sem,c
3867,krafthúsakappinn,nkeng
3868,J,n----s
3869,´,pg
3870,Nathan,n----s
3871,Bullock,n----s
3872,innsiglaði,sfg3eþ
3873,sigurinn,nkeog
3874,",",pk
3875, áttatíu og sjö,ta
3876,,m
3877, áttatíu og fimm,ta
3878,.,pl
3879, eitt,ta
3880,,m
3881,núll,ta
3882,Grétar,nken-s
3883,Sigfinnur,nken-s
3884,Sigurðarson,nken-s
3885, fertugasta og fimmta,ta
3886,mínúta,nven
3887,Báðar,fovfn
3888,þessar,favfn
3889,þjóðir,nvfn
3890,höfðu,sfg3fþ
3891,sigur,nkeo
3892,í,af
3893,fyrstu,lkfþve
3894,leikjum,nkfþ
3895,sínum,fekfþ
3896,þar,aa
3897,sem,c
3898,Ísland,nhen-s
3899,lagði,sfg3eþ
3900,England,nheo-s
3901, tvö,ta
3902,,m
3903,núll,ta
3904,meðan,c
3905,Pólland,nhen-s
3906,lagði,sfg3eþ
3907,Svíþjóð,nveo-s
3908, þrjú,ta
3909,,m
3910, eitt,ta
3911,.,pl
3912,Fyrsta,lhenve
3913,mark,nhen
3914,leiksins,nkeeg
3915,kom,sfg3eþ
3916,á,af
3917, átjándu,ta
3918,mínútu,nveþ
3919,en,c
3920,það,fpheo
3921,skoraði,sfg3eþ
3922,Atli,nken-s
3923,Viðar,nken-s
3924,Björnsson,nken-s
3925,og,c
3926,kom,sfg3eþ
3927,þar,aa
3928,með,aa
3929,gestunum,nkfþg
3930,í,af
3931, eitt,ta
3932,,m
3933,núll,ta
3934,.,pl
3935, tuttugu og níu,ta
3936,skástrik,pa
3937, fimmtán,ta
3938,fráköst,nhfn
3939,",",pk
3940,Logi,nken-s
3941,Gunnarsson,nken-s
3942, nítján <sil> sjö,ta
3943,fráköst,nhfn
3944,",",pk
3945,Elvar,nken-s
3946,Már,nken-s
3947,Friðriksson,nken-s
3948, sautján <sil> níu,ta
3949,stoðsendingar,nvfn
3950,",",pk
3951,Ágúst,nken-s
3952,Orrason,nken-s
3953, sextán <sil> fjögur,ta
3954,fráköst,nhfo
3955,",",pk
3956,Ólafur,nken-s
3957,Helgi,nken-s
3958,Jónsson,nken-s
3959, þrettán <sil> fjögur,ta
3960,fráköst,nhfo
3961,",",pk
3962,Hjörtur,nken-s
3963,Hrafn,nken-s
3964,Einarsson,nken-s
3965, níu,ta
3966,",",pk
3967,Maciej,n----s
3968,Stanislav,n----s
3969,Baginski,n----s
3970, sjö,ta
3971,",",pk
3972,Friðrik,nken-s
3973,E,ks
3974,Stefánsson,nken-s
3975, tvö <sil> fjögur,ta
3976,fráköst,nhfo
3977,",",pk
3978,Halldór,nken-s
3979,Örn,nken-s
3980,Halldórsson,nken-s
3981, eitt <sil> fimm,ta
3982,fráköst,nhfo
3983,",",pk
3984,Óli,nken-s
3985,Ragnar,nken-s
3986,Alexandersson,nken-s
3987,núll,ta
3988,skástrik,pa
3989, fjögur,ta
3990,fráköst,nhfo
3991,skástrik,pa
3992, fimm,ta
3993,stoðsendingar,nvfo
3994,",",pk
3995,Brynjar,nken-s
3996,Þór,nken-s
3997,Guðnason,nken-s
3998,núll,ta
3999,.,pl
4000,Liðsmenn,nkfn
4001,Keflavíur,nvee-s
4002,ætluðu,sfg3fþ
4003,greinilega,aa
4004,að,cn
4005,selja,sng
4006,sig,fpkfo
4007,dýrt,aa
4008,",",pk
4009,börðust,sfm3fþ
4010,um,af
4011,hvern,fokeo
4012,lausan,lkeosf
4013,bolta,nkeo
4014,og,c
4015,leiddu,sfg3fþ
4016,eftir,af
4017,fyrsta,lkeove
4018,leikhluta,nkeo
4019, tuttugu og þrjú,ta
4020,,m
4021, þrettán,ta
4022,.,pl
4023,V F,x
4024,-Myndir,pa
4025,skástrik,pa
4026,Páll,nken-s
4027,Orri,nken-s
4028,Keflavík-Stjarnan,nven-s
4029,hundrað og sjö,ta
4030,,m
4031,hundrað og þrjú,ta
4032,(,pa
4033, átján,ta
4034,,m
4035, tuttugu og fimm,ta
4036,",",pk
4037, tuttugu og níu,ta
4038,,m
4039, tuttugu og fjögur,ta
4040,",",pk
4041, þrjátíu og tvö,ta
4042,,m
4043, tuttugu og níu,ta
4044,",",pk
4045, tuttugu og átta,ta
4046,,m
4047, tuttugu og fimm,ta
4048,),pa
4049,Staðan,nveng
4050,eftir,af
4051,fyrsta,lkeove
4052,leikhluta,nkeo
4053,var,sfg3eþ
4054, tuttugu og tvö,ta
4055,,m
4056, fimmtán,ta
4057,og,c
4058,Hamarsstúlkur,nvfn-s
4059,ekki,aa
4060,að,cn
4061,sýna,sng
4062,þeirra,fpvfe
4063,bestu,lvfove
4064,hliðar,nvfo
4065,.,pl
4066,Grindavík,nven-s
4067,var,sfg3eþ
4068,með,af
4069, sautján,ta
4070,stiga,nhfe
4071,forystu,nveo
4072,hálfleik,nkeo
4073,og,c
4074,Keflavík,nven-s
4075,með,af
4076,aðeins,aa
4077, tuttugu og sjö,ta
4078,stig,nhfo
4079,en,c
4080,staðan,nveng
4081,var,sfg3eþ
4082, tuttugu og sjö,ta
4083,,m
4084, fjörutíu og fjögur,ta
4085,.,pl
4086,Lokatölur,nvfn
4087,í,af
4088,Röstinni,nveþgs
4089,voru,sfg3fþ
4090, sjötíu og sex,ta
4091,,m
4092, áttatíu,ta
4093,Þórsurum,nkfþ-s
4094,í,af
4095,vil,nheo
4096,eftir,af
4097,æsispennandi,lkeoof
4098,lokasprett,nkeo
4099,.,pl
4100,Staðan,nveng
4101,í,af
4102,viðureigninni,nveþg
4103,er,sfg3en
4104,nú,aa
4105, eitt,ta
4106,,m
4107, eitt,ta
4108,og,c
4109,næsti,lkenve
4110,leikur,nken
4111,í,af
4112,vesturbænum,nkeþg
4113,.,pl
4114,Ágúst,nken-s
4115,sigraði,sfg3eþ
4116,keppanda,nkeo
4117,frá,af
4118,Lúxemborg,nveþ-s
4119,og,c
4120,Finnlandi,nheþ-s
4121,með,af
4122,miklu,lheþsf
4123,öryggi,nheþ
4124,og,c
4125,barðist,sfm3eþ
4126,gífurlega,aa
4127,vel,aa
4128,á,aa
4129,móti,af
4130,Spænskum,lkeþsf
4131,keppanda,nkeþ
4132,en,c
4133,sá,faken
4134,bardagi,nken
4135,endaði,sfg3eþ
4136,núll,ta
4137,,m
4138,núll,ta
4139,þar,aa
4140,sem,c
4141,Spánverjanum,nkeþgs
4142,var,sfg3eþ
4143,dæmdur,sþgken
4144,sigur,nken
4145,eftir,af
4146,bráðabana,nkeo
4147,.,pl
4148,Nokkuð,fohen
4149,jafnt,lhensf
4150,var,sfg3eþ
4151,á,aa
4152,með,af
4153,liðunum,nhfþg
4154,í,af
4155,fyrri,lkeþvm
4156,hálfleik,nkeþ
4157,en,c
4158,Keflavíkurstúlkur,nvfn-s
4159,unnu,sfg3fþ
4160,fyrsta,lkeove
4161,fjórðung,nkeo
4162, fjórtán,ta
4163,,m
4164, ellefu,ta
4165,og,c
4166,annan,fokeo
4167,fjórðung,nkeo
4168, fjórtán,ta
4169,,m
4170, þrettán,ta
4171,.,pl
4172,Hann,fpken
4173,var,sfg3eþ
4174,svo,aa
4175,aftur,aa
4176,á,af
4177,ferðinni,nveþg
4178,á,af
4179, sjötugustu,ta
4180,mínútu,nveþ
4181,þegar,c
4182,hann,fpken
4183,bætti,sfg3eþ
4184,fjórða,lheþvf
4185,markinu,nheþg
4186,við,aa
4187,og,c
4188,Guðmundur,nken-s
4189,Magnússon,nken-s
4190,fullkomnaði,sfg3eþ
4191,svo,aa
4192,niðurlæginguna,nveog
4193,með,af
4194,marki,nheþ
4195,á,af
4196, áttugustu og níundu,ta
4197,mínútu,nveþ
4198,og,c
4199,lokastaðan,nveng
4200, fimm,ta
4201,,m
4202,núll,ta
4203,fyrir,af
4204,heimamenn,nkfo
4205,sem,ct
4206,lyftu,sfg3fþ
4207,sér,fpkfþ
4208,þar,aa
4209,með,aa
4210,af,af
4211,botnsvæðinu,nheþg
4212,.,pl
4213,Þessi,faken
4214,hávaxni,lkenvf
4215,",",pk
4216,ungi,lkenvf
4217,og,c
4218,efnilegi,lkenvf
4219,leikmaður,nken
4220,skoraði,sfg3eþ
4221, átta,ta
4222,stig,nhfo
4223,og,c
4224,varði,sfg3eþ
4225, tvö,ta
4226,skot,nhfo
4227,á,af
4228,stuttum,lkeþsf
4229,kafla,nkeþ
4230,og,c
4231,var,sfg3eþ
4232,þá,aa
4233,staðan,nveng
4234,orðin,sþgven
4235, sjötíu,ta
4236,,m
4237, áttatíu og níu,ta
4238,fyrir,af
4239,Þór,nkeo-s
4240,.,pl
4241,Lokatölur,nvfn
4242,urðu,sfg3fþ
4243, tvö,ta
4244,,m
4245, tvö,ta
4246,eftir,af
4247,að,c
4248,heimamenn,nkfn
4249,höfðu,sfg3fþ
4250,komist,sþmhen
4251,í,af
4252, tvö,ta
4253,,m
4254,núll,ta
4255,.,pl
4256,Keflavíkurstúlkur,nvfn-s
4257,unnu,sfg3fþ
4258,stóran,lkeosf
4259,og,c
4260,öruggan,lkeosf
4261,sigur,nkeo
4262,á,af
4263,K R,n----s
4264,í,af
4265, þriðja,ta
4266,úrslitaleik,nkeþ
4267,liðanna,nhfeg
4268,í,af
4269,Domino's,n----s
4270,deild,nveþ
4271,kvenna,nvfe
4272,í,af
4273,körfubolta,nkeþ
4274,í,af
4275,Toyota-höllinni,nveþgs
4276,í,af
4277,Keflavík,nveþ-s
4278,",",pk
4279,lokatölur,nvfn
4280,urðu,sfg3fþ
4281, sjötíu og tvö,ta
4282,,m
4283, fimmtíu og eitt,ta
4284,.,pl
4285,Í,af
4286,stöðunni,nveþg
4287, fjörutíu og tvö,ta
4288,,m
4289, fjörutíu og fjögur,ta
4290,fyrir,af
4291,K R,n----s
4292,fékk,sfg3eþ
4293,Brynjar,nken-s
4294,Björnsson,nkeo-s
4295,dæmdan,lkeosf
4296,á,af
4297,sig,fpkeo
4298,ásetning,nkeo
4299,eftir,af
4300,brot,nheo
4301,á,af
4302,Pettinella,n----s
4303,og,c
4304,nokkur,foken
4305,hiti,nken
4306,færðist,sfm3eþ
4307,í,af
4308,leikinn,nkeog
4309,í,af
4310,kjölfarið,nheog
4311,.,pl
4312,Grindavík,nveþ-s
4313,:,pa
4314,Rodney,n----s
4315,Alexander,nken-s
4316, tuttugu og fimm <sil> ellefu,ta
4317,fráköst,nhfn
4318,",",pk
4319,Jón,nken-s
4320,Axel,nken-s
4321,Guðmundsson,nken-s
4322, tuttugu og þrjú,ta
4323,",",pk
4324,Ólafur,nken-s
4325,Ólafsson,nken-s
4326, átján,ta
4327,",",pk
4328,Ómar,nken-s
4329,Örn,nken-s
4330,Sævarsson,nken-s
4331, ellefu,ta
4332,",",pk
4333,Jóhann,nken-s
4334,Árni,nken-s
4335,Ólafsson,nken-s
4336, átta <sil> sjö,ta
4337,stoðsendingar,nvfo
4338,",",pk
4339,Oddur,nken-s
4340,Rúnar,nken-s
4341,Kristjánsson,nken-s
4342, þrjú,ta
4343,",",pk
4344,Þorsteinn,nken-s
4345,Finnbogason,nken-s
4346, þrjú,ta
4347,",",pk
4348,Hilmir,nken-s
4349,Kristjánsson,nken-s
4350, tvö,ta
4351,",",pk
4352,Daníel,nken-s
4353,Guðni,nken-s
4354,Guðmundsson,nken-s
4355, tvö,ta
4356,",",pk
4357,Hinrik,nken-s
4358,Guðbjartsson,nken-s
4359,núll,ta
4360,",",pk
4361,Björn,nken-s
4362,Steinar,nken-s
4363,Brynjólfsson,nken-s
4364,núll,ta
4365,",",pk
4366,Nökkvi,nken-s
4367,Harðarson,nken-s
4368,núll,ta
4369,.,pl
4370,Lokatölur,nvfn
4371,urðu,sfg3fþ
4372, áttatíu og sex,ta
4373,,m
4374, fjörutíu og sjö,ta
4375,.,pl
4376,Lokatölur,nvfn
4377, sextíu,ta
4378,,m
4379, áttatíu og þrjú,ta
4380,þar,aa
4381,sem,c
4382,gestirnir,nkfng
4383,voru,sfg3fþ
4384,með,af
4385,yfirhöndina,nveog
4386,allan,fokeo
4387,leikinn,nkeog
4388,.,pl
4389,Njarðvík,nveþ-s
4390,:,pa
4391,Jeremy,n----s
4392,Martez,n----s
4393,Atkinson,n----s
4394, tuttugu og tvö,ta
4395,skástrik,pa
4396, fjórtán,ta
4397,fráköst,nhfn
4398,",",pk
4399,Haukur,nken-s
4400,Helgi,nken-s
4401,Pálsson,nken-s
4402, þrettán <sil> sjö,ta
4403,fráköst,nhfo
4404,",",pk
4405,Ólafur,nken-s
4406,Helgi,nken-s
4407,Jónsson,nken-s
4408, tíu,ta
4409,",",pk
4410,Logi,nken-s
4411,Gunnarsson,nken-s
4412, átta,ta
4413,",",pk
4414,Oddur,nken-s
4415,Rúnar,nken-s
4416,Kristjánsson,nken-s
4417, fimm <sil> fjögur,ta
4418,fráköst,nhfo
4419,skástrik,pa
4420, fimm,ta
4421,stoðsendingar,nvfn
4422,",",pk
4423,Snjólfur,nken-s
4424,Marel,nken-s
4425,Stefánsson,nken-s
4426, tvö,ta
4427,",",pk
4428,Maciej,n----s
4429,Stanislav,n----s
4430,Baginski,n----s
4431, tvö,ta
4432,",",pk
4433,Adam,nken-s
4434,Eiður,nken-s
4435,Ásgeirsson,nken-s
4436, tvö,ta
4437,",",pk
4438,Gunnlaugur,nken-s
4439,Sveinn,nken-s
4440,Hafsteinsson,nken-s
4441,núll,ta
4442,",",pk
4443,Jón,nken-s
4444,Arnór,nken-s
4445,Sverrisson,nken-s
4446,núll,ta
4447,",",pk
4448,Oddur,nken-s
4449,Birnir,nken-s
4450,Pétursson,nken-s
4451,núll,ta
4452,",",pk
4453,Hjörtur,nken-s
4454,Hrafn,nken-s
4455,Einarsson,nken-s
4456,núll,ta
4457,.,pl
4458,Það,fphen
4459,dugði,sfg3eþ
4460,þó,aa
4461,ekki,aa
4462,og,c
4463,sigurinn,nkeng
4464,var,sfg3eþ
4465,K R,nkfe-s
4466,-inga,nkfe
4467,",",pk
4468, áttatíu og átta,ta
4469,,m
4470, áttatíu og fjögur,ta
4471,.,pl
4472,TaKesha,n----s
4473,Watson,n----s
4474,breytti,sfg3eþ
4475,stöðunni,nveþg
4476,í,af
4477, fjörutíu og tvö,ta
4478,,m
4479, fimmtíu og níu,ta
4480,með,af
4481,góðum,lkeþsf
4482,þrist,nkeþ
4483,en,c
4484,leikhlutanum,nkeþg
4485,lauk,sfg3eþ
4486,í,af
4487,stöðunni,nveþg
4488, fjörutíu og sjö,ta
4489,,m
4490, sextíu og eitt,ta
4491,fyrir,af
4492,Keflavík,nveo-s
4493,.,pl
4494,Keflavík,nven-s
4495,og,c
4496,Grindavík,nven-s
4497,mætast,sfm3fn
4498,í,af
4499,miklum,lkeþsf
4500,Suðurnesjaslag,nkeþ-s
4501,en,c
4502,liðin,nhfng
4503,áttust,sfm3fþ
4504,við,aa
4505,á,af
4506,dögunum,nkfþg
4507,þar,aa
4508,sem,c
4509,Keflvíkingar,nkfn-s
4510,höfðu,sfg3fþ
4511, fjögur,ta
4512,,m
4513,núll,ta
4514,sigur,nkeo
4515,.,pl
4516,Grindavík,nven-s
4517,vann,sfg3eþ
4518,í,aa
4519,gær,aa
4520, tvö,ta
4521,,pa
4522, einn,ta
4523,sigur,nkeo
4524,á,af
4525,Fylki,nkeþ-s
4526,í,af
4527,lokaleik,nkeþ
4528, tíundu,ta
4529,umferðar,nvee
4530,Pepsi-deildar,nvee-s
4531,kvenna,nvfe
4532,í,af
4533,knattspyrnu,nveþ
4534,.,pl
4535,Úrvalsdeildarlið,nhen-s
4536,Grindavíkur,nvee-s
4537,hafði,sfg3eþ
4538,betur,aam
4539,í,af
4540,kvöld,nheo
4541,gegn,af
4542,K R,n----s
4543,",",pk
4544,hundrað,ta
4545,,pa
4546, áttatíu og átta,ta
4547,",",pk
4548,í,af
4549,öðrum,lkeþsf
4550,leik,nkeþ
4551,liðanna,nhfeg
4552,í,af
4553,úrslitarimmunni,nveþg
4554,um,af
4555,Íslandsmeistaratitilinn,nkeogs
4556,í,af
4557,Iceland,n----s
4558,Express,e
4559,deild,nveþ
4560,karla,nkfe
4561,í,af
4562,körfu,nveþ
4563,.,pl
4564,Þróttur,nken-s
4565,Vogum,nkfþ-s
4566,tapaði,sfg3eþ
4567, tvö,ta
4568,,pa
4569, eitt,ta
4570,fyrir,af
4571,Einherja,nkeþ-s
4572,frá,af
4573,Vopnafirði,nkeþ-s
4574,á,af
4575,heimavelli,nkeþ
4576,á,af
4577,laugardaginn,nkeog
4578,.,pl
4579,Breiðablik-Njarðvík,nven-s
4580, fimmtíu og átta,ta
4581,,m
4582, sjötíu og tvö,ta
4583,(,pa
4584, sjö,ta
4585,,m
4586, tuttugu og þrjú,ta
4587,",",pk
4588, tólf,ta
4589,,m
4590, sautján,ta
4591,",",pk
4592, tuttugu og fjögur,ta
4593,,m
4594, fimmtán,ta
4595,",",pk
4596, fimmtán,ta
4597,,m
4598, sautján,ta
4599,),pa
4600,Leikurinn,nkeng
4601,var,sfg3eþ
4602,í,af
4603,járnum,nhfþ
4604,allan,fokeo
4605,tímann,nkeog
4606,og,c
4607,staðan,nveng
4608,var,sfg3eþ
4609, fjörutíu og sjö,ta
4610,,m
4611, fimmtíu og þrjú,ta
4612,í,af
4613,hálfleik,nkeþ
4614,gestunum,nkfþg
4615,í,af
4616,vil,nheo
4617,.,pl
4618,Það,fphen
4619,var,sfg3eþ
4620,aldrei,aa
4621,spurning,nven
4622,um,aa
4623,hvort,c
4624,liðið,nheng
4625,færi,svg3eþ
4626,með,af
4627,sigur,nkeo
4628,af,af
4629,velli,nkeþ
4630,á,af
4631,Tungubakkavelli,nkeþ-s
4632,og,c
4633,var,sfg3eþ
4634,staðan,nveng
4635,orðin,sþgven
4636,núll,ta
4637,,m
4638, fjögur,ta
4639,í,af
4640,hálfleik,nkeþ
4641,.,pl
4642,Þróttarar,nkfn-s
4643,unnu,sfg3fþ
4644,svo,aa
4645,góðan,lkeosf
4646,sigur,nkeo
4647,á,af
4648,K V,n----s
4649,",",pk
4650,núll,ta
4651,,m
4652, tvö,ta
4653,þar,aa
4654,sem,c
4655,Elvar,nken-s
4656,Freyr,nken-s
4657,Arnþórsson,nken-s
4658,og,c
4659,Andri,nken-s
4660,Björn,nken-s
4661,Sigurðsson,nken-s
4662,skoruðu,sfg3fþ
4663,mörkin,nhfog
4664,.,pl
4665, tíundi,ta
4666,flokkur,nken
4667,karla,nkfe
4668,tryggði,sfg3eþ
4669,sér,fpkeþ
4670,Íslandsmeistaratitilinn,nkeogs
4671, tvö þúsund og tíu,ta
4672,í,af
4673,morgun,nkeo
4674,er,c
4675,þeir,fpkfn
4676,sigruðu,sfg3fþ
4677,K R,n----s
4678, sextíu og níu,ta
4679,,m
4680, fimmtíu og sex,ta
4681,í,af
4682,úrslitaleik,nkeþ
4683,í,af
4684,Smáranum,nkeþgs
4685,í,af
4686,Kópavogi,nkeþ-s
4687,.,pl
4688,G R V,n----s
4689,og,c
4690,Vestmannaeyjar,nvfn-s
4691,skildu,sfg3fþ
4692,jöfn,lhfosf
4693,í,aa
4694,gær,aa
4695, eitt,ta
4696,,m
4697, eitt,ta
4698,á,af
4699,Grindavíkurvelli,nkeþ-s
4700,.,pl
4701,Njarðvíkurkonur,nvfn-s
4702,",",pk
4703,sem,ct
4704,að,c
4705,léku,sfg3fþ
4706,án,af
4707,Ditu,n----s
4708,Liepkalne,n----s
4709,og,c
4710,Ínu,nvee-s
4711,Maríu,nvee-s
4712,áttu,sfg3fþ
4713,ekki,aa
4714,í,af
4715,vandræðum,nhfþ
4716,með,af
4717,Laugdæli,nkfo-s
4718,og,c
4719,unnu,sfg3fþ
4720, níutíu og fjögur,ta
4721,,m
4722, fjörutíu og níu,ta
4723,.,pl
4724,Danka,nven-s
4725,var,sfg3eþ
4726,svo,aa
4727,aftur,aa
4728,að,af
4729,verki,nheþ
4730,á,af
4731, sextugustu,ta
4732,mínútu,nveþ
4733,og,c
4734,kom,sfg3eþ
4735,Keflavík,nveþ-s
4736,þar,aa
4737,með,aa
4738,í,af
4739, þrjú,ta
4740,,m
4741,núll,ta
4742,.,pl
4743,Leikið,sþghen
4744,var,sfg3eþ
4745,á,af
4746,heimavelli,nkeþ
4747,Garðbúa,nkfe-s
4748,en,c
4749,leiknum,nkeþg
4750,lauk,sfg3eþ
4751,með,af
4752, tvö,ta
4753,,m
4754, einum,ta
4755,sigri,nkeþ
4756,heimamanna,nkfe
4757,.,pl
4758,Cloé,n----s
4759,Lacasse,n----s
4760,kom,sfg3eþ
4761,Í B V,n----s
4762,yfir,aa
4763,á,af
4764, fertugustu og fyrstu,ta
4765,mínútu,nveþ
4766,en,c
4767,Elena,n----s
4768,Brynjarsdóttir,nven-s
4769,jafnaði,sfg3eþ
4770,í,af
4771,uppbótartíma,nkeþ
4772,Staðan,nveng
4773,var,sfg3eþ
4774, eitt,ta
4775,,pa
4776, eitt,ta
4777,eftir,af
4778,venjulegan,lkeosf
4779,leiktíma,nkeo
4780,og,c
4781,því,aa
4782,þurfti,sfg3eþ
4783,að,cn
4784,framlengja,sng
4785,.,pl
4786,Donald,n----s
4787,var,sfg3eþ
4788,þá,aa
4789,einn,tfken
4790,af,af
4791,bestu,lkfþve
4792,áhugamönnum,nkfþ
4793,heims,nkee
4794,en,c
4795,Örn,nken-s
4796,Ævar,nken-s
4797,hafði,sfg3eþ
4798,betur,aam
4799, eitt,ta
4800,skástrik,m
4801,núll,ta
4802,á,af
4803, átjándu,ta
4804,holu,nveþ
4805,.,pl
4806, eitt,ta
4807,,m
4808, eitt,ta
4809,var,sfg3eþ
4810,lokastaða,nven
4811,leiksins,nkeeg
4812,þar,aa
4813,sem,c
4814,Sandgerðingar,nkfn-s
4815,sáu,sfg3fþ
4816,um,af
4817,að,cn
4818,skora,sng
4819,bæði,fohfo
4820,mörkin,nhfog
4821,.,pl
4822,Leikurinn,nkeng
4823,fór,sfg3eþ
4824, þrjú,ta
4825,,m
4826,núll,ta
4827,Frökkunum,nkfþgs
4828,í,af
4829,vil,nheo
4830,og,c
4831,Jóhann,nken-s
4832,og,c
4833,Reup,n----s
4834,þar,aa
4835,með,aa
4836,úr,af
4837,leik,nkeþ
4838,.,pl
4839,Marcus,n----s
4840,Walker,n----s
4841,skoraði,sfg3eþ
4842,fyrstu,lhfove
4843,stigin,nhfog
4844,í,af
4845,leiknum,nkeþg
4846,og,c
4847,komust,sfm3fþ
4848,K R,nkfn-s
4849,-ingar,nkfn
4850,strax,aa
4851,á,af
4852,fyrstu,lveþve
4853,mínútu,nveþ
4854,í,af
4855,núll,ta
4856,,m
4857, sjö,ta
4858,.,pl
4859,Njarðvík-Keflavík,nven-s
4860, áttatíu og fimm,ta
4861,,m
4862, áttatíu og átta,ta
4863,(,pa
4864, þrjátíu og tvö,ta
4865,,m
4866, tuttugu og fjögur,ta
4867,",",pk
4868, tuttugu og eitt,ta
4869,,m
4870, tuttugu og fjögur,ta
4871,",",pk
4872, sautján,ta
4873,,m
4874, nítján,ta
4875,",",pk
4876, fimmtán,ta
4877,,m
4878, tuttugu og eitt,ta
4879,),pa
4880, tvö þúsund og sex,ta
4881,:,pa
4882,Fjölnir,nken-s
4883,-,pa
4884,Keflavík,nveþ-s
4885,hundrað og tíu,ta
4886,,m
4887,hundrað og átta,ta
4888,(,pa
4889,framlengt,lhensf
4890,),pa
4891,Stúlkurnar,nvfng
4892,hófu,sfg3fþ
4893,leik,nkeo
4894,á,af
4895,sunnudag,nkeo
4896,en,c
4897,Njarðvíkingar,nkfn-s
4898,höfðu,sfg3fþ
4899,þar,aa
4900,einnig,aa
4901,sigur,nkeo
4902,gegn,af
4903,K R,nkfþ-s
4904,-ingum,nkfþ
4905,",",pk
4906, sextíu og fjögur,ta
4907,,m
4908, sjötíu og tvö,ta
4909,.,pl
4910,Haukar-Grindavík,nkfn-s
4911, sjötíu,ta
4912,,m
4913, fimmtíu og sjö,ta
4914,(,pa
4915, átján,ta
4916,,m
4917, fimmtán,ta
4918,",",pk
4919, fimmtán,ta
4920,,m
4921, tíu,ta
4922,",",pk
4923, sextán,ta
4924,,m
4925, tólf,ta
4926,",",pk
4927, tuttugu og eitt,ta
4928,,m
4929, tuttugu,ta
4930,),pa
4931,Grindavík,nveþ-s
4932,:,pa
